country,employ_above_15
Afghanistan,26.20000076
Albania,41.90000153
Algeria,30.5
Angola,69.19999695
Argentina,45.79999924
Armenia,33.70000076
Australia,54.59999847
Austria,49.40000153
Azerbaijan,54.79999924
Bahamas,61.20000076
Bahrain,29.79999924
Bangladesh,53.29999924
Barbados,60.09999847
Belarus,49
Belgium,41.20000076
Belize,39.29999924
Benin,57.79999924
Bhutan,38.09999847
Bolivia,62.20000076
Bosnia and Herzegovina,34.90000153
Botswana,38.70000076
Brazil,52.09999847
Brunei,54.90000153
Bulgaria,42.79999924
Burkina Faso,75.69999695
Burundi,83.40000153
Cambodia,73.40000153
Cameroon,49.40000153
Canada,57.5
Cape Verde,42.40000153
Central African Rep.,63.09999847
Chad,66.59999847
Chile,37.20000076
China,69.09999847
Colombia,52.79999924
Comoros,58.79999924
"Congo, Rep.",52.59999847
"Congo, Dem. Rep.",51
Costa Rica,39.5
Cote d'Ivoire,38.20000076
Croatia,38.59999847
Cuba,43.79999924
Cyprus,49.90000153
Czech Rep.,46.09999847
Denmark,58.20000076
Dominican Rep.,40.29999924
Timor-Leste,53.29999924
Ecuador,45.59999847
Egypt,17.89999962
El Salvador,44.29999924
Equatorial Guinea,41.70000076
Eritrea,52.09999847
Estonia,51.09999847
Ethiopia,72.30000305
Fiji,37
Finland,53
France,44.79999924
Gabon,52.70000076
Gambia,65.30000305
Georgia,48.5
Germany,46.09999847
Ghana,64.5
Greece,37
Guadeloupe,39
Guatemala,42.5
Guinea,77.69999695
Guinea-Bissau,50.59999847
Guyana,42.5
Haiti,34.90000153
Honduras,35
"Hong Kong, China",50.20000076
Hungary,40.20000076
Iceland,69.69999695
India,32.70000076
Indonesia,42.09999847
Iran,26.20000076
Iraq,12.30000019
Ireland,50.20000076
Israel,45.90000153
Italy,34.40000153
Jamaica,49
Japan,46.59999847
Jordan,13.19999981
Kazakhstan,57.40000153
Kenya,66.59999847
"Korea, Dem. Rep.",56
"Korea, Rep.",48.59999847
Kuwait,41.59999847
Kyrgyzstan,48.70000076
Laos,78.09999847
Latvia,50.40000153
Lebanon,22.20000076
Lesotho,52.20000076
Liberia,53
Libya,22.10000038
Lithuania,48.09999847
Luxembourg,43.09999847
"Macao, China",57.40000153
Madagascar,81
Malawi,69.19999695
Malaysia,42.79999924
Maldives,40.40000153
Mali,33.79999924
Malta,28.89999962
Martinique,38.90000153
Mauritania,45.90000153
Mauritius,35.20000076
Mexico,40.59999847
Mongolia,50.40000153
Morocco,23.29999924
Mozambique,82.19999695
Myanmar,66.40000153
Namibia,37.20000076
Nepal,54.59999847
Netherlands,53.29999924
Netherlands Antilles,46.20000076
New Zealand,58.29999924
Nicaragua,34.90000153
Niger,38.09999847
Nigeria,36.09999847
Norway,59.5
Oman,21.89999962
Pakistan,18.79999924
Panama,40.90000153
Papua New Guinea,68.69999695
Paraguay,64.90000153
Peru,60.20000076
Philippines,45.5
Poland,39.70000076
Portugal,50.90000153
Puerto Rico,33.79999924
Qatar,38.40000153
Moldova,44.20000076
Reunion,34.90000153
Romania,45
Russia,51.79999924
Rwanda,80.80000305
Saudi Arabia,17
Senegal,56.29999924
Serbia and Montenegro,39.09999847
Sierra Leone,63.79999924
Singapore,51.09999847
Slovak Republic,43.29999924
Slovenia,50.59999847
Solomon Islands,51.59999847
Somalia,50.5
South Africa,32.90000153
Spain,41.90000153
Sri Lanka,38.59999847
Sudan,27.5
Suriname,31.29999924
Swaziland,47.09999847
Sweden,56.29999924
Switzerland,57.09999847
Syria,16.29999924
Taiwan,46.5
Tajikistan,47.5
Tanzania,76.09999847
Thailand,65.09999847
"Macedonia, FYR",26.29999924
Togo,48.59999847
Trinidad and Tobago,53.20000076
Tunisia,21.5
Turkey,22.29999924
Turkmenistan,53.40000153
Uganda,79.80000305
Ukraine,48.29999924
United Arab Emirates,36
United Kingdom,53.09999847
United States,56
Uruguay,44.79999924
Uzbekistan,51.70000076
Venezuela,45.70000076
Vietnam,67.90000153
West Bank and Gaza,11.5
"Yemen, Rep.",20.5
Zambia,53.90000153
Zimbabwe,58.79999924
