country,ser
Algeria,
American Samoa,
Anguilla,
Antigua and Barbuda,
Argentina,88.5
Armenia,44.5
Aruba,
Australia,88.19999695
Austria,80.90000153
Azerbaijan,54.29999924
Bahamas,94.19999695
Bahrain,
Bangladesh,
Barbados,
Belgium,87.40000153
Belize,
Bermuda,
Bhutan,
Bolivia,
Botswana,
Brazil,71.90000153
British Virgin Islands,
Brunei,
Bulgaria,65.80000305
Cambodia,
Cameroon,
Canada,87.59999847
Cayman Islands,95.5
Chad,
Chile,82.90000153
Colombia,77.40000153
Costa Rica,82.30000305
Croatia,67.09999847
Cuba,77.80000305
Cyprus,86.19999695
Czech Rep.,70.09999847
Denmark,86.69999695
Dominica,
Dominican Rep.,
Ecuador,83
Egypt,50.59999847
El Salvador,76.19999695
Equatorial Guinea,
Estonia,75.19999695
Ethiopia,76.59999847
Faeroe Islands,
Finland,85.19999695
France,85.80000305
Gabon,
Gambia,
Georgia,38.5
Germany,82.19999695
East Germany,
Ghana,
Greece,77
Grenada,
Guatemala,75.09999847
Guinea,
Guyana,
Haiti,
Honduras,
"Hong Kong, China",93.5
Hungary,76.19999695
Iceland,85.90000153
Indonesia,40.5
Iran,
Iraq,
Ireland,87
Isle of Man,95.40000153
Israel,88.40000153
Italy,79.90000153
Jamaica,86.80000305
Japan,76.90000153
Jordan,
Kazakhstan,
Kiribati,
"Korea, Rep.",75.30000305
Kuwait,
Kyrgyzstan,53.79999924
Laos,
Latvia,74.80000305
Lesotho,
Lithuania,70.30000305
Luxembourg,
"Macao, China",81.69999695
Madagascar,
Malaysia,65.19999695
Maldives,55.90000153
Mali,
Malta,84.40000153
Marshall Islands,
Martinique,
Mauritius,64.30000305
Mexico,75.69999695
Mongolia,
Montenegro,
Montserrat,
Morocco,24.10000038
Namibia,
Nepal,
Netherlands,
Netherlands Antilles,
New Caledonia,
New Zealand,84.09999847
Nicaragua,73.19999695
Nigeria,
Niue,
Northern Mariana Islands,
Norway,90.5
Oman,
Pakistan,
Panama,86.69999695
Paraguay,
Peru,49.40000153
Philippines,64.30000305
Poland,67.5
Portugal,68.69999695
Puerto Rico,88.40000153
Qatar,95.90000153
Moldova,55.59999847
Romania,43.29999924
Russia,71.59999847
Rwanda,
Saint Kitts and Nevis,
Saint Lucia,
Saint Vincent and the Grenadines,
San Marino,76.40000153
Sao Tome and Principe,
Saudi Arabia,98.5
Senegal,42
Serbia,62.09999847
Sierra Leone,
Singapore,82.40000153
Slovak Republic,72.80000305
Slovenia,67.19999695
South Africa,78.40000153
Spain,85.09999847
Sri Lanka,33
Saint Helena,
Suriname,
Sweden,89.59999847
Switzerland,85.40000153
Syria,
Tajikistan,
Tanzania,17.89999962
Thailand,40.29999924
"Macedonia, FYR",50.09999847
Tonga,
Trinidad and Tobago,
Tunisia,
Turkey,36.5
Uganda,
United Arab Emirates,
United Kingdom,89.5
United States,89.80000305
Uruguay,82.30000305
Venezuela,85.80000305
Vietnam,
West Bank and Gaza,55.29999924
"Yemen, Rep.",
Zambia,
Zimbabwe,
,
