country,education
Afghanistan,0.3
Albania,8.9
Algeria,3.8
Angola,2.5
Antigua and Barbuda,11.9
Argentina,9.8
Armenia,11
Australia,11.3
Austria,10.7
Azerbaijan,10.9
Bahamas,10.5
Bahrain,7.2
Bangladesh,2.4
Belarus,11.4
Belgium,11.6
Belize,8
Benin,1.4
Bolivia,6.3
Bosnia and Herzegovina,7
Botswana,5.4
Brazil,6.7
Bulgaria,11.7
Burkina Faso,0.7
Burundi,1.8
Cambodia,2.8
Cameroon,3.8
Canada,14
Cape Verde,3.1
Central African Rep.,1.9
Chad,0.6
Chile,9.7
China,5.9
Colombia,6.2
Comoros,2
"Congo, Dem. Rep.",3.6
"Congo, Rep.",4.8
Costa Rica,8.3
Cote d'Ivoire,1.7
Croatia,10.3
Cuba,9.9
Cyprus,11.4
Czech Rep.,13.1
Denmark,12.6
Djibouti,1.5
Dominican Rep.,7.2
Ecuador,7.7
Egypt,4.9
El Salvador,6.2
Equatorial Guinea,4.1
Eritrea,1.8
Estonia,11.4
Ethiopia,0.8
Fiji,8.7
Finland,12
France,10.1
Gabon,5.2
Gambia,1.7
Georgia,12.2
Germany,11.7
Ghana,4.8
Greece,9.7
Guatemala,3.6
Guinea,0.9
Guinea-Bissau,1
Guyana,9
Haiti,3
Honduras,5.4
Hungary,10.9
India,3.1
Indonesia,5.5
Iran,4.6
Iraq,3.3
Ireland,11.2
Israel,12.2
Italy,9.9
Jamaica,9.9
Japan,12
Jordan,7.9
Kazakhstan,11.5
Kenya,5.3
Kiribati,8.6
"Korea, Rep.",11.4
Kuwait,6.4
Kyrgyzstan,11
Laos,2.3
Latvia,12.5
Lebanon,7.8
Lesotho,7.9
Liberia,2
Lithuania,12.1
Luxembourg,10.7
"Macedonia, FYR",9.1
Madagascar,4
Malawi,3
Malaysia,7.2
Maldives,3.3
Mali,0.8
Marshall Islands,8.5
Mauritania,1.3
Mauritius,7.4
Mexico,7.1
Moldova,10.8
Mongolia,8.8
Montenegro,10.2
Morocco,2.2
Mozambique,1.5
Myanmar,4.3
Namibia,6.4
Nepal,1.1
Netherlands,11.1
New Zealand,12
Nicaragua,5.4
Niger,0.5
Nigeria,3.6
Norway,13.3
Oman,4.5
Pakistan,2.1
Panama,9.4
Papua New Guinea,2.9
Paraguay,6.8
Peru,7.9
Philippines,8.9
Poland,12.1
Portugal,7.2
Qatar,7.4
Romania,11.2
Russia,12.5
Rwanda,2.5
Saint Lucia,9
Samoa,11.5
Sao Tome and Principe,3.4
Saudi Arabia,4.4
Senegal,1.3
Serbia,9.6
Seychelles,11.1
Sierra Leone,1.3
Singapore,5.9
Slovak Republic,11.7
Slovenia,11.2
Solomon Islands,4.5
Somalia,0.8
South Africa,8
Spain,8.5
Sri Lanka,8.8
Sudan,2.7
Suriname,6.7
Swaziland,6.7
Sweden,12.5
Switzerland,12.4
Syria,4.6
Taiwan,10.3
Tajikistan,10
Tanzania,3.6
Thailand,6.2
Timor-Leste,1.7
Togo,2.1
Tonga,11.1
Trinidad and Tobago,9.3
Tunisia,4
Turkey,5.3
Turkmenistan,10.4
Uganda,3.3
Ukraine,11.9
United Arab Emirates,7.7
United Kingdom,12.8
United States,13.5
Uruguay,9.7
Uzbekistan,10.9
Vanuatu,5.8
Venezuela,8.4
Vietnam,6.5
West Bank and Gaza,7.3
"Yemen, Rep.",0.6
Zambia,4.8
Zimbabwe,6.2
